"INSEE_COM","CITY","MED16"
78230,"La Falaise",27.1733333333333
78231,"Favrieux",27.1119047619048
78233,"Feucherolles",39.018
78234,"Flacourt",25.9093103448276
78236,"Flexanville",29.1789285714286
78237,"Flins-Neuve-Église",24.7046428571429
78238,"Flins-sur-Seine",24.7590476190476
78239,"Follainville-Dennemont",23.1280952380952
78242,"Fontenay-le-Fleury",24.2433333333333
78245,"Fontenay-Mauvoisin",29.27245
78246,"Fontenay-Saint-Père",26.1827272727273
78255,"Freneuse",21.2946666666667
78261,"Gaillon-sur-Montcient",27.4811267605634
78262,"Galluis",28.3965217391304
78263,"Gambais",29.5911904761905
78264,"Gambaiseuil",NA
78265,"Garancières",28.1282857142857
78267,"Gargenville",23.2026666666667
78269,"Gazeran",29.74
78276,"Gommecourt",23.354
78278,"Goupillières",29.5386666666667
78281,"Goussonville",27.172
78283,"Grandchamp",25.8939130434783
78285,"Gressey",28.8361904761905
78289,"Grosrouvre",34.4228571428571
78290,"Guernes",24.2052380952381
78291,"Guerville",24.9683333333333
78296,"Guitrancourt",25.8358333333333
78297,"Guyancourt",23.3180952380952
78299,"Hardricourt",24.4719047619048
78300,"Hargeville",30.397619047619
78302,"La Hauteville",28.9019512195122
78305,"Herbeville",34.9290476190476
78307,"Hermeray",28.5005
78310,"Houdan",22.2007142857143
78311,"Houilles",27.5142857142857
78314,"Issou",23.1766666666667
78317,"Jambville",26.3890476190476
78320,"Notre-Dame-de-la-Mer",24.3018
78321,"Jouars-Pontchartrain",31.2326666666667
78322,"Jouy-en-Josas",33.5883333333333
78324,"Jouy-Mauvoisin",25.8533333333333
78325,"Jumeauville",27.716
78327,"Juziers",23.9472222222222
78329,"Lainville-en-Vexin",27.4030434782609
78334,"Lévis-Saint-Nom",31.5386666666667
78335,"Limay",18.741
78337,"Limetz-Villez",23.5062962962963
78343,"Les Loges-en-Josas",37.6593333333333
78344,"Lommoye",25.6317391304348
78346,"Longnes",25.5380952380952
78349,"Longvilliers",32.1661111111111
78350,"Louveciennes",34.5085
78354,"Magnanville",22.7686666666667
78356,"Magny-les-Hameaux",26.2857142857143
78358,"Maisons-Laffitte",34.0346666666667
78361,"Mantes-la-Jolie",15.6395
78362,"Mantes-la-Ville",19.0013793103448
78364,"Marcq",29.9038888888889
78366,"Mareil-le-Guyon",30.5814285714286
78367,"Mareil-Marly",36.7370967741935
78368,"Mareil-sur-Mauldre",32.2726666666667
78372,"Marly-le-Roi",29.4433333333333
78380,"Maule",27.8817857142857
78381,"Maulette",25.6635
78382,"Maurecourt",27.4217857142857
78383,"Maurepas",25.2040740740741
78384,"Médan",35.3523076923077
78385,"Ménerville",23.9523333333333
78389,"Méré",32.708347826087
78391,"Méricourt",23.117
78396,"Le Mesnil-le-Roi",32.7376
78397,"Le Mesnil-Saint-Denis",31.3791666666667
78398,"Les Mesnuls",31.5466666666667
78401,"Meulan-en-Yvelines",20.358
78402,"Mézières-sur-Seine",25.1286794871795
78403,"Mézy-sur-Seine",25.849
78404,"Millemont",30.044
78406,"Milon-la-Chapelle",39.244
78407,"Mittainville",26.8346153846154
78410,"Moisson",24.183
78413,"Mondreville",23.3173913043478
78415,"Montainville",32.4435
78416,"Montalet-le-Bois",27.6589285714286
78417,"Montchauvet",28.1052
78418,"Montesson",29.56
78420,"Montfort-l'Amaury",30.2808333333333
78423,"Montigny-le-Bretonneux",28.4815
78431,"Morainvilliers",33.7056
78437,"Mousseaux-sur-Seine",25.6830769230769
78439,"Mulcent",28.8976666666667
78440,"Les Mureaux",16.7495833333333
